Date,Event Type,EventName,Notes,Time,Acts,Cost,Venue,Link,Source
"April 28, 2026",Live Music,Dogs in a Pile — Fest by Nite,"Part of Fest by Nite 2026. PERFORMERS: Dogs in a Pile (Jeremy Kaplan — keys/vocals, Brian Murray — guitar/vocals, Joey Babick — drums, Jimmy Law — guitar/vocals, Sam Lucid — bass). NJ jam band, third year playing Jazz Fest. Supporting new album Distroid.",Doors 10:30pm / Show 11:30pm,,TBD,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/dogs-in-a-pile-2026-fest-by-nite-nola-during-jazz-fest/,
"April 29, 2026",,Purity Ring — House of Blues,Canadian electronic dream-pop duo Purity Ring (Megan James + Corin Roddick) performing during Daze Between.,Evening,,TBD,House of Blues (https://www.notion.so/House-of-Blues-2fea37df871081e5bc77e92115568ee7?pvs=21),https://www.houseofblues.com/neworleans,
"April 29, 2026",,Grahame Lesh & Friends — Joy Theater (Night 2),"Part of Fest by Nite 2026. Night 2 of 2-night Daze Between run. Different lineup from Night 1. PERFORMERS: Grahame Lesh (guitar/vocals), Daniel Donato (guitar), Jake Brownstein (guitar, Eggy), John Molo (drums), Cory Henry (organ, Funk Apostles), Kanika Moore (vocals), Preservation Hall Horns, special guest Ivan Neville (keys/vocals, Dumpstaphunk).",Doors 6:30pm / Show 7:30pm,,TBD,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,
"April 28, 2026 → April 29, 2026",,Cake — Saenger Theatre (2-Night Run),Sacramento alt-rock/funk band CAKE plays two nights at the Saenger during the Daze Between. Dates: April 28 & 29.,Evening,,TBD,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21),https://www.saengertheatre.com,
"April 29, 2026",,The Radiators — Civic Theatre,"Legendary New Orleans rock band The Radiators performing during Daze Between. The Radiators are a beloved NOLA institution, playing their signature 'fishhead' sound since the 1970s.",Evening,,TBD,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21),https://civicnola.com,
"April 29, 2026",Live Music,Andrew Duhon — Chickie Wah Wah,New Orleans singer-songwriter Andrew Duhon performing during Daze Between.,Evening,,TBD,Chickie Wah Wah (https://www.notion.so/Chickie-Wah-Wah-336a37df871081b0b67ef9b3c8fd3f91?pvs=21),https://chickiewahwah.com,
"April 28, 2026",Live Music,Joe Marcinek / Dead Funk Summit — d.b.a.,"Daze Between show. Doors 8pm, show starts 9pm. Two sets: (1) Joe Marcinek opening set with Lilli Lewis, Reggie Scanlan, Bruce Sunpie Barnes, Massey, Will Murry of Iceman Special/Hollyrock. (2) Joe's Dead Funk Summit ft. George Porter Jr., Big Sam, Tony Hall, Brad Walker, Terrence Houston, Michael Lemmler. Mix-and-match collaboration between sets promised. Only 50 presale tickets at $20.",Doors 8pm / Show 9pm,,$20,d.b.a. (https://www.notion.so/d-b-a-336a37df8710811c8ce1eaaf666c47c8?pvs=21),https://www.dbanola.com,
"April 29, 2026",Live Music,Sgt. Splendor ft. Eric McFadden & more — Chickie Wah Wah,"Daze Between show at Chickie Wah Wah. PERFORMERS: Sgt. Splendor with Eric McFadden, Kate Vargas, Charlie Wooten, and Simon Lott.",Evening,,TBD,Chickie Wah Wah (https://www.notion.so/Chickie-Wah-Wah-336a37df871081b0b67ef9b3c8fd3f91?pvs=21),https://chickiewahwah.com,
"April 28, 2026",Live Music,Sally Baby’s Three Silver Opera — Pharmacy Museum Courtyard,"Intimate outdoor courtyard concert at the historic New Orleans Pharmacy Museum. On the heels of their NPR Tiny Desk debut. Oysters from Oysters Dandy (cash/Venmo). 18+, 21+ to drink. No seating — bring a fest chair. Ticket at door depends on remaining capacity. Exact date during Jazz Fest season — check venue Instagram for confirmation.",Evening,,$20,New Orleans Pharmacy Museum (https://www.notion.so/New-Orleans-Pharmacy-Museum-33da37df871081a5a18ec82a459b4405?pvs=21),https://pharmacymuseum.org,
"April 28, 2026",,Grahame Lesh & Friends — Joy Theater (Night 1),"Part of Fest by Nite 2026. Night 1 of 2-night Daze Between run. PERFORMERS: Grahame Lesh (guitar/vocals), Oteil Burbridge (bass, Dead & Co), Daniel Donato (guitar), John Molo (drums), Aron Magner (keys, Disco Biscuits), Kanika Moore (vocals), Preservation Hall Horns, special guest Bill Payne (keys, Little Feat).",Doors 6:30pm / Show 7:30pm,,TBD,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,
"April 30, 2026",,Daniel Donato's Cosmic Country — Civic Theatre,Daniel Donato's Cosmic Country performing at Civic Theatre during Weekend 2 of Jazz Fest. Donato also appears with Grahame Lesh & Friends during the Daze Between.,Evening,,TBD,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21),https://civicnola.com,
"April 30, 2026",Live Music,Stanton Moore & Friends — Fest by Nite,"Part of Fest by Nite 2026. PERFORMERS: Stanton Moore (drums, Galactic) & Friends ft. Robert Walter (keys), Skerik (sax), Big Sam (trombone), Will Bernard (guitar).",Evening,,TBD,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",,Cory Henry + MonoNeon & Friends — Fest by Nite (Late Night),"Part of Fest by Nite 2026. Late-night show (technically early AM 5/1). PERFORMERS: Cory Henry (organ/keys, Snarky Puppy alum) + MonoNeon (bass virtuoso) & Friends.",Late night (early AM 5/1),,TBD,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"May 2, 2026",,Karina Rykman — Toulouse Theatre (Late Night),"Part of Fest by Nite 2026. Late-night show (technically early AM 5/3). PERFORMERS: Karina Rykman (bass virtuoso, regular Mike Gordon collaborator).",Late night (early AM 5/3),,TBD,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"May 2, 2026",,J & The Causeways: Alligator Rock — A Tribute to Elton John,Part of Fest by Nite 2026. J & The Causeways also perform at Jazz Fest proper on Sat May 2 (Festival Stage). NOLA tribute to Elton John.,Evening,,TBD,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"May 1, 2026",Live Music,"The Heavyweights ft. Cory Henry, Eric Krasno, Robert 'Sput' Searight w/ Oteil Burbridge","Part of Fest by Nite 2026. Two-set show. PERFORMERS: The Heavyweights — Cory Henry (organ), Eric Krasno (guitar), Robert 'Sput' Searight (drums) with special guest Oteil Burbridge (bass). All three are Snarky Puppy veterans/collaborators.",Doors 8pm / Show 9pm (Two Sets),,TBD,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/supergroup-the-heavyweights-coryhenry-erickrasno-robertsputsearight-oteilburbridge-joytheater-neworleans-jazz-fest-by-nite-2026/,
"May 1, 2026",,Gov’t Mule — Orpheum Theater,"Night 2 of 2-night Orpheum run. Gov't Mule in full-force intimate theater show. Final date of their spring headlining tour. PERFORMERS: Warren Haynes (guitar/vocals), Danny Louis (keys), Jorgen Carlsson (bass), Donn Clendenon (drums).",Evening,,TBD,Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21),https://orpheumnola.com,
"April 30, 2026",,Karl Denson's Tiny Universe — The Fillmore,Karl Denson's Tiny Universe performing at The Fillmore during Weekend 2 of Jazz Fest.,Evening,,TBD,The Fillmore New Orleans (https://www.notion.so/The-Fillmore-New-Orleans-33da37df8710818a9e98c407b31db219?pvs=21),https://www.fillmorenola.com,
"May 2, 2026",,The Meters — Saenger Theatre,"SOLD OUT. The Meters reunion show at the Saenger. Leo Nocentelli, George Porter Jr., Zigaboo Modeliste. Reunion show — extremely rare. The Meters also played The Fillmore on Fri Apr 24 (also sold out).",Evening,,SOLD OUT,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",Live Music,Son Rompe Pera — Tipitina’s,Mexican cumbia/cumbia sonidera band Son Rompe Pera performing at Tipitina's during Weekend 2 of Jazz Fest.,Evening,,TBD,Tipitina's (https://www.notion.so/Tipitina-s-330a37df871081128e2fd728f5c8e142?pvs=21),https://tipitinas.com/calendar,
"April 30, 2026",Live Music,Help on the Way — The Howlin' Wolf,"Part of Fest by Nite 2026. Grateful Dead tribute supergroup. PERFORMERS: Help on the Way ft. Eric Krasno, Ross James, Oteil Burbridge, Grahame Lesh, Ivan Neville, Nikki Glaspie, Steve Watkins.",Evening,,TBD,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",,Warren Haynes Band: Dreams & Songs Symphonic Experience w/ LPO,"Night 1 of 2-night Orpheum run. Warren Haynes Band performs Dreams & Songs Symphonic Experience with the Louisiana Philharmonic Orchestra, conducted by Rich Daniels. Explores his full catalog: Gov't Mule, Allman Brothers, Grateful Dead/Jerry Garcia, and solo work. Part of Orpheum's Jazz Afterdark Series.",Evening,,TBD,Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21),https://orpheumnola.com/event/warren-haynes-dreams-songs-symphonic-experience-with-the-lpo/,
"April 30, 2026",,The Motet Plays Jamiroquai — The Howlin' Wolf (Late Night),Part of Fest by Nite 2026. Late-night show (technically early AM 5/1). PERFORMERS: The Motet performing the music of Jamiroquai.,Late night (early AM 5/1),,TBD,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",,"Dead Feat ft. Anders Osborne, Kenny Gradney & more — Republic NOLA","Grateful Dead/Little Feat tribute supergroup featuring NOLA musicians. PERFORMERS: Dead Feat with Anders Osborne, Kenny Gradney (bass, Little Feat), Jackie Greene, and more.",Evening,,TBD,Republic NOLA (https://www.notion.so/Republic-NOLA-33da37df871081ea8bbae55e8e602eaf?pvs=21),https://republicnola.com,
"April 30, 2026",,Lettuce: RAGE!FEST — Fest by Nite,"PERFORMERS: Lettuce (Ryan Zoidis, Eric 'Benny' Bloom, Adam Deitch, Adam 'Shmeeans' Smirnoff, Erick 'Jesus' Coomes, and more). Annual RAGE!FEST late-night at Joy Theater. Also performing at Fair Grounds earlier that day (Festival Stage, 2:45pm). Part of Fest by Nite 2026.",Evening,,Ticketed,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",Live Music,Stanton Moore & Friends — Fest by Nite,"PERFORMERS: Stanton Moore (drums, Galactic), Robert Walter (keys), Skerik (sax), Big Sam Williams (trombone), Will Bernard (guitar). All-star jazz-funk project. Part of Fest by Nite 2026 at Toulouse Theatre.",Evening,,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",,Cory Henry + MonoNeon & Friends — Fest by Nite,"PERFORMERS: Cory Henry (organ/keys, Snarky Puppy / Funk Apostles) + MonoNeon (bass, Prince collaborator) & Friends. Late-night show at Toulouse. Cory Henry also playing Fair Grounds earlier on May 2. Part of Fest by Nite 2026.",After midnight (technically early am 5/1),,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 28, 2026",Live Music,Sally Baby's Three Silver Opera — Pharmacy Museum,"PERFORMERS: Sally Baby and the band. Outdoor courtyard show at the New Orleans Pharmacy Museum during Jazz Fest season. On the heels of an NPR Tiny Desk debut. Oysters available from Oysters Dandy (cash/Venmo). 18+ welcome, 21+ to drink. No seating — bring a chair. Tickets sold in advance via http://pharmacymuseum.org. Unique venue — French Quarter historic courtyard.",Evening (verify with venue),,$20,New Orleans Pharmacy Museum (https://www.notion.so/New-Orleans-Pharmacy-Museum-33da37df871081a5a18ec82a459b4405?pvs=21),https://www.pharmacymuseum.org,
"May 1, 2026",Festival,Bayou Rendezvous — 24th Annual,PRESENTED BY: Satisfied Productions. 24th Annual Bayou Rendezvous at The Broadside. Lineup TBA. Companion event to 1st Annual Bayou RenDAZEvous (Mon Apr 27). Both part of the Jazz Fest weekend / Daze Between ecosystem.,TBA,,TBA,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21),https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page4,
"April 29, 2026",,Purity Ring — House of Blues,PERFORMERS: Purity Ring (Canadian electronic dream-pop duo). Daze Between show at House of Blues New Orleans.,Evening,,Ticketed,House of Blues (https://www.notion.so/House-of-Blues-2fea37df871081e5bc77e92115568ee7?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
"April 29, 2026",,The Radiators — Civic Theatre,PERFORMERS: The Radiators (legendary New Orleans rock band). Daze Between show at Civic Theatre. The Radiators are a beloved NOLA institution known for 'fish-head' music — funky rock with deep NOLA roots.,Evening,,Ticketed,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
"April 27, 2026",Festival,Bayou RenDAZEvous — 1st Annual,PRESENTED BY: Satisfied Productions. NEW in 2026 — replaces the NOLA Crawfish Fest (which is not happening this year per organizer). The Broadside's first 'RenDAZEvous' event during the Daze Between. Details and lineup TBA. Companion event: 24th Annual Bayou Rendezvous at The Broadside on Fri May 1.,TBA,,TBA,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21),https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page4,
"April 28, 2026",Live Music,Joe Marcinek & Dead Funk Summit — d.b.a.,"TWO SETS: Early set with Joe Marcinek + Lilli Lewis, Reggie Scanlan, Bruce Sunpie Barnes, Massey, Will Murry (Iceman Special/Hollyrock). Late set: Dead Funk Summit ft. George Porter Jr. (bass, The Meters), Big Sam (trombone), Tony Hall (bass/vocals, Dumpstaphunk), Brad Walker (sax), Terrence Houston (drums), Michael Lemmler (keys). Mix-and-match collaborations across sets. Only 50 presale tickets at $20 — verify availability. Independently promoted show.",Doors 8pm / Sets from 9pm and 11pm,,$20,d.b.a. (https://www.notion.so/d-b-a-336a37df8710811c8ce1eaaf666c47c8?pvs=21),https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page16,
"April 24, 2026",,STS9 — Fest by Nite (Night 2),PERFORMERS: STS9. Night 2 of 2-night Joy Theater run. Part of Fest by Nite 2026.,Doors 9pm / Show 10pm,,Ticketed,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/sts9-joy-theater-new-orleans-jazz-fest-by-nite-2026/,
"April 28, 2026",,Grahame Lesh & Friends — Fest by Nite (Night 1),"PERFORMERS: Grahame Lesh (guitar/bass/vocals, son of Phil Lesh), Oteil Burbridge (bass, Dead & Company), Daniel Donato (guitar, Cosmic Country), John Molo (drums), Aron Magner (keys, Disco Biscuits), Kanika Moore (vocals), The Preservation Hall Horns; special guest Bill Payne (keys, Little Feat). Night 1 of 2-night Joy Theater run during Daze Between. Part of Fest by Nite 2026. Context: Bob Weir passed away Jan 10, 2026 — Grahame has been central to carrying the Dead legacy forward.",Doors 6:30pm / Show 7:30pm,,Ticketed,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,
"April 28, 2026 → April 29, 2026",,Cake — 2-Night Run,PERFORMERS: Cake (Sacramento alt-rock band). 2-night run at Saenger Theatre during Daze Between. Dates: Tue Apr 28 and Wed Apr 29.,Evening,,Ticketed,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
"April 29, 2026",Live Music,Sgt. Splendor ft. Eric McFadden & Friends,"PERFORMERS: Sgt. Splendor featuring Eric McFadden (guitar), Kate Vargas (vocals), Charlie Wooten (bass), Simon Lott (drums). Also: Andrew Duhon plays separately at Chickie Wah Wah same night (listed as separate show in Gambit calendar — may be same or different bill, verify).",Evening,,TBA,Chickie Wah Wah (https://www.notion.so/Chickie-Wah-Wah-336a37df871081b0b67ef9b3c8fd3f91?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
"April 30, 2026",,Warren Haynes Band — Dreams & Songs Symphonic Experience (with LPO),"PERFORMERS: Warren Haynes Band with The Louisiana Philharmonic Orchestra, conducted by Rich Daniels (Chicago City Lights Orchestra). Symphonic experience debuted in 2019 — explores Haynes' full catalog including Gov't Mule, Allman Brothers, The Dead, Jerry Garcia, and solo work. Part of Orpheum's Jazz Afterdark Series. Night 1 of 2 at Orpheum. Tickets via Ticketmaster.",Evening,,Ticketed (from ~$65 top balcony),Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21),https://orpheumnola.com/event/warren-haynes-dreams-songs-symphonic-experience-with-the-lpo/,
"April 28, 2026",Live Music,Dogs in a Pile — Fest by Nite,"PERFORMERS: Dogs in a Pile — Jeremy Kaplan (keys/vocals), Brian Murray (guitar/vocals), Joey Babick (drums), Jimmy Law (guitar/vocals), Sam Lucid (bass/vocals). NJ-based jam band. Third annual NOLA appearance during Jazz Fest. Late-night Toulouse show during Daze Between. Part of Fest by Nite 2026.",Doors 10:30pm / Show 11:30pm,,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/dogs-in-a-pile-2026-fest-by-nite-nola-during-jazz-fest/,
"April 25, 2026",Live Music,The Funk Sessions — Fest by Nite,"PERFORMERS: Ivan Neville (keys/vocals), Adam Deitch (drums), Erick 'Maverick' Coomes (bass), Ashlin Parker (trumpet), Skerik (sax). All-star funk collective. Fest by Nite 2026 at Toulouse Theatre.",Evening,,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"May 1, 2026",,The Heavyweights ft. Oteil Burbridge — Fest by Nite,"PERFORMERS: The Heavyweights — Cory Henry (organ), Eric Krasno (guitar, Soulive), Robert 'Sput' Searight (drums, Snarky Puppy / Ghost-Note); special guest Oteil Burbridge (bass, Dead & Company). Two-set performance. Part of Fest by Nite 2026 at The Joy Theater.",Doors 8pm / Show 9pm (Two Sets),,Ticketed,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/supergroup-the-heavyweights-coryhenry-erickrasno-robertsputsearight-oteilburbridge-joytheater-neworleans-jazz-fest-by-nite-2026/,
"April 30, 2026",,"Help on the Way ft. Krasno, Lesh, Neville & All-Stars","PERFORMERS: Eric Krasno (guitar, Soulive), Ross James (drums), Oteil Burbridge (bass, Dead & Company), Grahame Lesh (guitar/vocals), Ivan Neville (keys/vocals, Dumpstaphunk), Nikki Glaspie (drums), Steve Watkins. Dead-influenced all-star project. Part of Fest by Nite 2026 at The Howlin' Wolf.",Evening,,Ticketed,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 24, 2026",,Break Science — Fest by Nite,PERFORMERS: Break Science (Adam Deitch on drums/arrangement + Borahm Lee on keys/production). Late-night dance party. Part of Fest by Nite 2026 at Toulouse Theatre.,After midnight (technically early am 4/25),,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/break-science-jazz-fest-by-nite-2026-toulouse-theatre-new-orleans/,
"April 23, 2026",,STS9 — Fest by Nite (Night 1),"PERFORMERS: STS9 (Hunter Brown, Dave Phipps, Zach Velmer, Jeffree Lerner, Alana Rocklin). Night 1 of a 2-night Joy Theater run. Part of Live For Live Music / GMP Live's Fest by Nite 2026 series. Supporting 2025 album Human Dream.",Doors 9pm / Show 10pm,,Ticketed,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/sts9-joy-theater-new-orleans-jazz-fest-by-nite-2026/,
"April 27, 2026",Live Music,Brad Walker + All-Stars — Daze Between,"PERFORMERS: Brad Walker (sax), Oteil Burbridge (bass, Dead & Company), Adam Deitch (drums, Lettuce), Nicholas Payton (trumpet), and friends. Listed in Jazz Fest Grids for Monday of the Daze Between. Exact details TBA — verify with d.b.a. before attending.",Evening,,TBA,d.b.a. (https://www.notion.so/d-b-a-336a37df8710811c8ce1eaaf666c47c8?pvs=21),https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page16,
"May 2, 2026",,J & The Causeways: Alligator Rock — Toulouse Theatre,"PERFORMERS: J & The Causeways performing 'Alligator Rock: A New Orleans Tribute to Elton John.' J & The Causeways also performing at Fair Grounds earlier same day (Festival Stage, 12:25pm). Fest by Nite 2026 at Toulouse Theatre.",Evening,,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"May 2, 2026",,Karina Rykman — Toulouse Theatre,"PERFORMERS: Karina Rykman (bassist/vocalist, solo project — known for work with Marcus King Band and jam scene). Late-night Saturday show at Toulouse. Fest by Nite 2026.",After midnight (technically early am 5/3),,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",Live Music,Daniel Donato's Cosmic NOLA — Civic Theatre,PERFORMERS: Daniel Donato's Cosmic Country. Nashville-based guitarist/bandleader who also appears with Grahame Lesh & Friends during Daze Between. Special NOLA-themed show at Civic Theatre on Weekend 2 kickoff night.,Evening,,Ticketed,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
"April 30, 2026",,The Motet Plays Jamiroquai — Fest by Nite,PERFORMERS: The Motet performing Jamiroquai tribute set. Denver-based funk/jazz band known for deep tribute performances. Part of Fest by Nite 2026 late-night at The Howlin' Wolf.,After midnight (technically early am 5/1),,Ticketed,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 26, 2026",,Adam Deitch 50th Birthday Celebration,"PERFORMERS: Adam Deitch (drums, Lettuce / Break Science) celebrating his 50th birthday. Guests include Oteil Burbridge (Dead & Company), Ivan Neville (Dumpstaphunk), Marcus Machado, and more TBA. Part of Fest by Nite 2026 ecosystem at The Broadside.",Evening,,Ticketed,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 24, 2026",,The Meters w/ Dumpstaphunk — Fest by Nite,"PERFORMERS: The Meters reunion show featuring George Porter Jr., Leo Nocentelli; with Dumpstaphunk (Ivan Neville, Tony Hall). SOLD OUT. Fest by Nite 2026. Meters also playing Saenger Theatre on Sat May 2 (also SOLD OUT).",Evening,,SOLD OUT,The Fillmore New Orleans (https://www.notion.so/The-Fillmore-New-Orleans-33da37df8710818a9e98c407b31db219?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 26, 2026",Live Music,Sylvan Esso (DJ Set) — Fest by Nite,"PERFORMERS: Sylvan Esso DJ Set (Amelia Meath + Nick Sanborn / Made of Oak). Electro-pop duo from Durham, NC. Rounds out Weekend 1 of Fest by Nite 2026. $1 from every ticket benefits Positive Legacy and Grace at the Green Light.",Doors 9pm / Show 10pm,,GA $30 adv / $35 DOS / VIP $65,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/sylvan-esso-dj-set-toulouse-theatre-new-orleans-jazz-fest-by-nite-2026/,
"April 23, 2026",,GIVERS — Fest by Nite,"PERFORMERS: GIVERS (Lafayette, LA indie/rock band). Fest by Nite 2026 show at Toulouse Theatre. Also performing at Fair Grounds on Friday April 24 (Shell Gentilly Stage: GIVERS - In Light).",Evening,,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",,"Dead Feat ft. Anders Osborne, Kenny Gradney & Friends","PERFORMERS: Dead Feat — a collaboration celebrating both the Grateful Dead and Little Feat, featuring Anders Osborne (guitarist, NOLA legend), Kenny Gradney (bass, Little Feat), Jackie Greene, and more. Republic NOLA. First night of Weekend 2.",Evening,,Ticketed,Republic NOLA (https://www.notion.so/Republic-NOLA-33da37df871081ea8bbae55e8e602eaf?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
