EventName,Acts,Cost,Date,Entry Method,Event Type,Interested?,Link,Notes,Organization,Place,Series,Source,Status,Time,Venue
George Porter Jr. Trio — Maple Leaf (Early & Late),George Porter Jr. (https://www.notion.so/George-Porter-Jr-337a37df8710819b8709c1297b03a763?pvs=21),Ticketed,"April 6, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/early-show-george-porter-jr-trio-4,"George Porter Jr. Trio — two shows same night. Early show 7pm, late show 10pm. George Porter Jr. is co-founder of The Meters. This is his regular Monday residency at the Maple Leaf. Ages 21+.",,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Early 7pm / Late 10pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
"Ladyparts feat. Lynn Drury, Margie Perez & More — Maple Leaf",,Ticketed,"April 3, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/ladyparts-featuring-lynn-drury-margie-perez-more,"Ladyparts showcase featuring Lynn Drury, Margie Perez and more. All-women lineup. Ages 21+.",,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Doors 7pm / Show 7:30pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
,,,,,Festival,No,,,,,,,,,
Adam Deitch 50th Birthday Celebration — The Broadside,,TBD,"April 26, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"Part of Fest by Nite 2026. Adam Deitch's (Lettuce/Break Science) 50th birthday all-star celebration. PERFORMERS: Adam Deitch (drums) ft. Oteil Burbridge (bass), Ivan Neville (keys), Marcus Machado (guitar), and more TBA.",,,,,,Evening,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21)
Dogs in a Pile — Fest by Nite,,TBD,"April 28, 2026",Claude Agent,Live Music,No,https://liveforlivemusic.com/news/dogs-in-a-pile-2026-fest-by-nite-nola-during-jazz-fest/,"Part of Fest by Nite 2026. PERFORMERS: Dogs in a Pile (Jeremy Kaplan — keys/vocals, Brian Murray — guitar/vocals, Joey Babick — drums, Jimmy Law — guitar/vocals, Sam Lucid — bass). NJ jam band, third year playing Jazz Fest. Supporting new album Distroid.",,,,,,Doors 10:30pm / Show 11:30pm,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Purity Ring — House of Blues,,TBD,"April 29, 2026",Claude Agent,,No,https://www.houseofblues.com/neworleans,Canadian electronic dream-pop duo Purity Ring (Megan James + Corin Roddick) performing during Daze Between.,,,,,,Evening,House of Blues (https://www.notion.so/House-of-Blues-2fea37df871081e5bc77e92115568ee7?pvs=21)
Grahame Lesh & Friends — Joy Theater (Night 2),,TBD,"April 29, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,"Part of Fest by Nite 2026. Night 2 of 2-night Daze Between run. Different lineup from Night 1. PERFORMERS: Grahame Lesh (guitar/vocals), Daniel Donato (guitar), Jake Brownstein (guitar, Eggy), John Molo (drums), Cory Henry (organ, Funk Apostles), Kanika Moore (vocals), Preservation Hall Horns, special guest Ivan Neville (keys/vocals, Dumpstaphunk).",,,,,,Doors 6:30pm / Show 7:30pm,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Cake — Saenger Theatre (2-Night Run),,TBD,"April 28, 2026 → April 29, 2026",Claude Agent,,No,https://www.saengertheatre.com,Sacramento alt-rock/funk band CAKE plays two nights at the Saenger during the Daze Between. Dates: April 28 & 29.,,,,,,Evening,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21)
The Radiators — Civic Theatre,,TBD,"April 29, 2026",Claude Agent,,Yes,https://civicnola.com,"Legendary New Orleans rock band The Radiators performing during Daze Between. The Radiators are a beloved NOLA institution, playing their signature 'fishhead' sound since the 1970s.",,,,,,Evening,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21)
Andrew Duhon — Chickie Wah Wah,,TBD,"April 29, 2026",Claude Agent,Live Music,No,https://chickiewahwah.com,New Orleans singer-songwriter Andrew Duhon performing during Daze Between.,,,,,,Evening,Chickie Wah Wah (https://www.notion.so/Chickie-Wah-Wah-336a37df871081b0b67ef9b3c8fd3f91?pvs=21)
Joe Marcinek / Dead Funk Summit — d.b.a.,,$20,"April 28, 2026",Claude Agent,Live Music,Yes,https://www.dbanola.com,"Daze Between show. Doors 8pm, show starts 9pm. Two sets: (1) Joe Marcinek opening set with Lilli Lewis, Reggie Scanlan, Bruce Sunpie Barnes, Massey, Will Murry of Iceman Special/Hollyrock. (2) Joe's Dead Funk Summit ft. George Porter Jr., Big Sam, Tony Hall, Brad Walker, Terrence Houston, Michael Lemmler. Mix-and-match collaboration between sets promised. Only 50 presale tickets at $20.",,,,,,Doors 8pm / Show 9pm,d.b.a. (https://www.notion.so/d-b-a-336a37df8710811c8ce1eaaf666c47c8?pvs=21)
Sgt. Splendor ft. Eric McFadden & more — Chickie Wah Wah,,TBD,"April 29, 2026",Claude Agent,Live Music,No,https://chickiewahwah.com,"Daze Between show at Chickie Wah Wah. PERFORMERS: Sgt. Splendor with Eric McFadden, Kate Vargas, Charlie Wooten, and Simon Lott.",,,,,,Evening,Chickie Wah Wah (https://www.notion.so/Chickie-Wah-Wah-336a37df871081b0b67ef9b3c8fd3f91?pvs=21)
Sally Baby’s Three Silver Opera — Pharmacy Museum Courtyard,,$20,"April 28, 2026",Claude Agent,Live Music,Yes,https://pharmacymuseum.org,"Intimate outdoor courtyard concert at the historic New Orleans Pharmacy Museum. On the heels of their NPR Tiny Desk debut. Oysters from Oysters Dandy (cash/Venmo). 18+, 21+ to drink. No seating — bring a fest chair. Ticket at door depends on remaining capacity. Exact date during Jazz Fest season — check venue Instagram for confirmation.",,,,,,Evening,New Orleans Pharmacy Museum (https://www.notion.so/New-Orleans-Pharmacy-Museum-33da37df871081a5a18ec82a459b4405?pvs=21)
Grahame Lesh & Friends — Joy Theater (Night 1),,TBD,"April 28, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,"Part of Fest by Nite 2026. Night 1 of 2-night Daze Between run. PERFORMERS: Grahame Lesh (guitar/vocals), Oteil Burbridge (bass, Dead & Co), Daniel Donato (guitar), John Molo (drums), Aron Magner (keys, Disco Biscuits), Kanika Moore (vocals), Preservation Hall Horns, special guest Bill Payne (keys, Little Feat).",,,,,,Doors 6:30pm / Show 7:30pm,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Daniel Donato's Cosmic Country — Civic Theatre,,TBD,"April 30, 2026",Claude Agent,,No,https://civicnola.com,Daniel Donato's Cosmic Country performing at Civic Theatre during Weekend 2 of Jazz Fest. Donato also appears with Grahame Lesh & Friends during the Daze Between.,,,,,,Evening,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21)
Stanton Moore & Friends — Fest by Nite,,TBD,"April 30, 2026",Claude Agent,Live Music,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"Part of Fest by Nite 2026. PERFORMERS: Stanton Moore (drums, Galactic) & Friends ft. Robert Walter (keys), Skerik (sax), Big Sam (trombone), Will Bernard (guitar).",,,,,,Evening,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Cory Henry + MonoNeon & Friends — Fest by Nite (Late Night),,TBD,"April 30, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"Part of Fest by Nite 2026. Late-night show (technically early AM 5/1). PERFORMERS: Cory Henry (organ/keys, Snarky Puppy alum) + MonoNeon (bass virtuoso) & Friends.",,,,,,Late night (early AM 5/1),Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Karina Rykman — Toulouse Theatre (Late Night),,TBD,"May 2, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"Part of Fest by Nite 2026. Late-night show (technically early AM 5/3). PERFORMERS: Karina Rykman (bass virtuoso, regular Mike Gordon collaborator).",,,,,,Late night (early AM 5/3),Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
J & The Causeways: Alligator Rock — A Tribute to Elton John,,TBD,"May 2, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,Part of Fest by Nite 2026. J & The Causeways also perform at Jazz Fest proper on Sat May 2 (Festival Stage). NOLA tribute to Elton John.,,,,,,Evening,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
"The Heavyweights ft. Cory Henry, Eric Krasno, Robert 'Sput' Searight w/ Oteil Burbridge",,TBD,"May 1, 2026",Claude Agent,Live Music,Yes,https://liveforlivemusic.com/news/supergroup-the-heavyweights-coryhenry-erickrasno-robertsputsearight-oteilburbridge-joytheater-neworleans-jazz-fest-by-nite-2026/,"Part of Fest by Nite 2026. Two-set show. PERFORMERS: The Heavyweights — Cory Henry (organ), Eric Krasno (guitar), Robert 'Sput' Searight (drums) with special guest Oteil Burbridge (bass). All three are Snarky Puppy veterans/collaborators.",,,,,,Doors 8pm / Show 9pm (Two Sets),The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Gov’t Mule — Orpheum Theater,,TBD,"May 1, 2026",Claude Agent,,Yes,https://orpheumnola.com,"Night 2 of 2-night Orpheum run. Gov't Mule in full-force intimate theater show. Final date of their spring headlining tour. PERFORMERS: Warren Haynes (guitar/vocals), Danny Louis (keys), Jorgen Carlsson (bass), Donn Clendenon (drums).",,,,,,Evening,Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21)
Karl Denson's Tiny Universe — The Fillmore,,TBD,"April 30, 2026",Claude Agent,,Yes,https://www.fillmorenola.com,Karl Denson's Tiny Universe performing at The Fillmore during Weekend 2 of Jazz Fest.,,,,,,Evening,The Fillmore New Orleans (https://www.notion.so/The-Fillmore-New-Orleans-33da37df8710818a9e98c407b31db219?pvs=21)
The Meters — Saenger Theatre,,SOLD OUT,"May 2, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"SOLD OUT. The Meters reunion show at the Saenger. Leo Nocentelli, George Porter Jr., Zigaboo Modeliste. Reunion show — extremely rare. The Meters also played The Fillmore on Fri Apr 24 (also sold out).",,,,,,Evening,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21)
Son Rompe Pera — Tipitina’s,,TBD,"April 30, 2026",Claude Agent,Live Music,No,https://tipitinas.com/calendar,Mexican cumbia/cumbia sonidera band Son Rompe Pera performing at Tipitina's during Weekend 2 of Jazz Fest.,,,,,,Evening,Tipitina's (https://www.notion.so/Tipitina-s-330a37df871081128e2fd728f5c8e142?pvs=21)
Help on the Way — The Howlin' Wolf,,TBD,"April 30, 2026",Claude Agent,Live Music,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"Part of Fest by Nite 2026. Grateful Dead tribute supergroup. PERFORMERS: Help on the Way ft. Eric Krasno, Ross James, Oteil Burbridge, Grahame Lesh, Ivan Neville, Nikki Glaspie, Steve Watkins.",,,,,,Evening,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
Warren Haynes Band: Dreams & Songs Symphonic Experience w/ LPO,,TBD,"April 30, 2026",Claude Agent,,Yes,https://orpheumnola.com/event/warren-haynes-dreams-songs-symphonic-experience-with-the-lpo/,"Night 1 of 2-night Orpheum run. Warren Haynes Band performs Dreams & Songs Symphonic Experience with the Louisiana Philharmonic Orchestra, conducted by Rich Daniels. Explores his full catalog: Gov't Mule, Allman Brothers, Grateful Dead/Jerry Garcia, and solo work. Part of Orpheum's Jazz Afterdark Series.",,,,,,Evening,Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21)
The Motet Plays Jamiroquai — The Howlin' Wolf (Late Night),,TBD,"April 30, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,Part of Fest by Nite 2026. Late-night show (technically early AM 5/1). PERFORMERS: The Motet performing the music of Jamiroquai.,,,,,,Late night (early AM 5/1),The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
"Dead Feat ft. Anders Osborne, Kenny Gradney & more — Republic NOLA",,TBD,"April 30, 2026",Claude Agent,,Yes,https://republicnola.com,"Grateful Dead/Little Feat tribute supergroup featuring NOLA musicians. PERFORMERS: Dead Feat with Anders Osborne, Kenny Gradney (bass, Little Feat), Jackie Greene, and more.",,,,,,Evening,Republic NOLA (https://www.notion.so/Republic-NOLA-33da37df871081ea8bbae55e8e602eaf?pvs=21)
Lettuce: RAGE!FEST — Fest by Nite,,Ticketed,"April 30, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Lettuce (Ryan Zoidis, Eric 'Benny' Bloom, Adam Deitch, Adam 'Shmeeans' Smirnoff, Erick 'Jesus' Coomes, and more). Annual RAGE!FEST late-night at Joy Theater. Also performing at Fair Grounds earlier that day (Festival Stage, 2:45pm). Part of Fest by Nite 2026.",,,,,,Evening,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Stanton Moore & Friends — Fest by Nite,,Ticketed,"April 30, 2026",Claude Agent,Live Music,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Stanton Moore (drums, Galactic), Robert Walter (keys), Skerik (sax), Big Sam Williams (trombone), Will Bernard (guitar). All-star jazz-funk project. Part of Fest by Nite 2026 at Toulouse Theatre.",,,,,,Evening,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Cory Henry + MonoNeon & Friends — Fest by Nite,,Ticketed,"April 30, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Cory Henry (organ/keys, Snarky Puppy / Funk Apostles) + MonoNeon (bass, Prince collaborator) & Friends. Late-night show at Toulouse. Cory Henry also playing Fair Grounds earlier on May 2. Part of Fest by Nite 2026.",,,,,,After midnight (technically early am 5/1),Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Sally Baby's Three Silver Opera — Pharmacy Museum,,$20,"April 28, 2026",Claude Agent,Live Music,Yes,https://www.pharmacymuseum.org,"PERFORMERS: Sally Baby and the band. Outdoor courtyard show at the New Orleans Pharmacy Museum during Jazz Fest season. On the heels of an NPR Tiny Desk debut. Oysters available from Oysters Dandy (cash/Venmo). 18+ welcome, 21+ to drink. No seating — bring a chair. Tickets sold in advance via http://pharmacymuseum.org. Unique venue — French Quarter historic courtyard.",,,,,,Evening (verify with venue),New Orleans Pharmacy Museum (https://www.notion.so/New-Orleans-Pharmacy-Museum-33da37df871081a5a18ec82a459b4405?pvs=21)
Bayou Rendezvous — 24th Annual,,TBA,"May 1, 2026",Claude Agent,Festival,Yes,https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page4,PRESENTED BY: Satisfied Productions. 24th Annual Bayou Rendezvous at The Broadside. Lineup TBA. Companion event to 1st Annual Bayou RenDAZEvous (Mon Apr 27). Both part of the Jazz Fest weekend / Daze Between ecosystem.,,,,,,TBA,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21)
Purity Ring — House of Blues,,Ticketed,"April 29, 2026",Claude Agent,,No,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,PERFORMERS: Purity Ring (Canadian electronic dream-pop duo). Daze Between show at House of Blues New Orleans.,,,,,,Evening,House of Blues (https://www.notion.so/House-of-Blues-2fea37df871081e5bc77e92115568ee7?pvs=21)
The Radiators — Civic Theatre,,Ticketed,"April 29, 2026",Claude Agent,,Yes,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,PERFORMERS: The Radiators (legendary New Orleans rock band). Daze Between show at Civic Theatre. The Radiators are a beloved NOLA institution known for 'fish-head' music — funky rock with deep NOLA roots.,,,,,,Evening,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21)
Bayou RenDAZEvous — 1st Annual,,TBA,"April 27, 2026",Claude Agent,Festival,Yes,https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page4,PRESENTED BY: Satisfied Productions. NEW in 2026 — replaces the NOLA Crawfish Fest (which is not happening this year per organizer). The Broadside's first 'RenDAZEvous' event during the Daze Between. Details and lineup TBA. Companion event: 24th Annual Bayou Rendezvous at The Broadside on Fri May 1.,,,,,,TBA,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21)
Joe Marcinek & Dead Funk Summit — d.b.a.,,$20,"April 28, 2026",Claude Agent,Live Music,Yes,https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page16,"TWO SETS: Early set with Joe Marcinek + Lilli Lewis, Reggie Scanlan, Bruce Sunpie Barnes, Massey, Will Murry (Iceman Special/Hollyrock). Late set: Dead Funk Summit ft. George Porter Jr. (bass, The Meters), Big Sam (trombone), Tony Hall (bass/vocals, Dumpstaphunk), Brad Walker (sax), Terrence Houston (drums), Michael Lemmler (keys). Mix-and-match collaborations across sets. Only 50 presale tickets at $20 — verify availability. Independently promoted show.",,,,,,Doors 8pm / Sets from 9pm and 11pm,d.b.a. (https://www.notion.so/d-b-a-336a37df8710811c8ce1eaaf666c47c8?pvs=21)
STS9 — Fest by Nite (Night 2),,Ticketed,"April 24, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/sts9-joy-theater-new-orleans-jazz-fest-by-nite-2026/,PERFORMERS: STS9. Night 2 of 2-night Joy Theater run. Part of Fest by Nite 2026.,,,,,,Doors 9pm / Show 10pm,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Grahame Lesh & Friends — Fest by Nite (Night 1),,Ticketed,"April 28, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,"PERFORMERS: Grahame Lesh (guitar/bass/vocals, son of Phil Lesh), Oteil Burbridge (bass, Dead & Company), Daniel Donato (guitar, Cosmic Country), John Molo (drums), Aron Magner (keys, Disco Biscuits), Kanika Moore (vocals), The Preservation Hall Horns; special guest Bill Payne (keys, Little Feat). Night 1 of 2-night Joy Theater run during Daze Between. Part of Fest by Nite 2026. Context: Bob Weir passed away Jan 10, 2026 — Grahame has been central to carrying the Dead legacy forward.",,,,,,Doors 6:30pm / Show 7:30pm,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Cake — 2-Night Run,,Ticketed,"April 28, 2026 → April 29, 2026",Claude Agent,,No,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,PERFORMERS: Cake (Sacramento alt-rock band). 2-night run at Saenger Theatre during Daze Between. Dates: Tue Apr 28 and Wed Apr 29.,,,,,,Evening,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21)
Sgt. Splendor ft. Eric McFadden & Friends,,TBA,"April 29, 2026",Claude Agent,Live Music,No,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,"PERFORMERS: Sgt. Splendor featuring Eric McFadden (guitar), Kate Vargas (vocals), Charlie Wooten (bass), Simon Lott (drums). Also: Andrew Duhon plays separately at Chickie Wah Wah same night (listed as separate show in Gambit calendar — may be same or different bill, verify).",,,,,,Evening,Chickie Wah Wah (https://www.notion.so/Chickie-Wah-Wah-336a37df871081b0b67ef9b3c8fd3f91?pvs=21)
Warren Haynes Band — Dreams & Songs Symphonic Experience (with LPO),,Ticketed (from ~$65 top balcony),"April 30, 2026",Claude Agent,,Yes,https://orpheumnola.com/event/warren-haynes-dreams-songs-symphonic-experience-with-the-lpo/,"PERFORMERS: Warren Haynes Band with The Louisiana Philharmonic Orchestra, conducted by Rich Daniels (Chicago City Lights Orchestra). Symphonic experience debuted in 2019 — explores Haynes' full catalog including Gov't Mule, Allman Brothers, The Dead, Jerry Garcia, and solo work. Part of Orpheum's Jazz Afterdark Series. Night 1 of 2 at Orpheum. Tickets via Ticketmaster.",,,,,,Evening,Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21)
Dogs in a Pile — Fest by Nite,,Ticketed,"April 28, 2026",Claude Agent,Live Music,No,https://liveforlivemusic.com/news/dogs-in-a-pile-2026-fest-by-nite-nola-during-jazz-fest/,"PERFORMERS: Dogs in a Pile — Jeremy Kaplan (keys/vocals), Brian Murray (guitar/vocals), Joey Babick (drums), Jimmy Law (guitar/vocals), Sam Lucid (bass/vocals). NJ-based jam band. Third annual NOLA appearance during Jazz Fest. Late-night Toulouse show during Daze Between. Part of Fest by Nite 2026.",,,,,,Doors 10:30pm / Show 11:30pm,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
The Funk Sessions — Fest by Nite,,Ticketed,"April 25, 2026",Claude Agent,Live Music,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Ivan Neville (keys/vocals), Adam Deitch (drums), Erick 'Maverick' Coomes (bass), Ashlin Parker (trumpet), Skerik (sax). All-star funk collective. Fest by Nite 2026 at Toulouse Theatre.",,,,,,Evening,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
The Heavyweights ft. Oteil Burbridge — Fest by Nite,,Ticketed,"May 1, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/supergroup-the-heavyweights-coryhenry-erickrasno-robertsputsearight-oteilburbridge-joytheater-neworleans-jazz-fest-by-nite-2026/,"PERFORMERS: The Heavyweights — Cory Henry (organ), Eric Krasno (guitar, Soulive), Robert 'Sput' Searight (drums, Snarky Puppy / Ghost-Note); special guest Oteil Burbridge (bass, Dead & Company). Two-set performance. Part of Fest by Nite 2026 at The Joy Theater.",,,,,,Doors 8pm / Show 9pm (Two Sets),The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
"Help on the Way ft. Krasno, Lesh, Neville & All-Stars",,Ticketed,"April 30, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Eric Krasno (guitar, Soulive), Ross James (drums), Oteil Burbridge (bass, Dead & Company), Grahame Lesh (guitar/vocals), Ivan Neville (keys/vocals, Dumpstaphunk), Nikki Glaspie (drums), Steve Watkins. Dead-influenced all-star project. Part of Fest by Nite 2026 at The Howlin' Wolf.",,,,,,Evening,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
Break Science — Fest by Nite,,Ticketed,"April 24, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/break-science-jazz-fest-by-nite-2026-toulouse-theatre-new-orleans/,PERFORMERS: Break Science (Adam Deitch on drums/arrangement + Borahm Lee on keys/production). Late-night dance party. Part of Fest by Nite 2026 at Toulouse Theatre.,,,,,,After midnight (technically early am 4/25),Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
STS9 — Fest by Nite (Night 1),,Ticketed,"April 23, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/sts9-joy-theater-new-orleans-jazz-fest-by-nite-2026/,"PERFORMERS: STS9 (Hunter Brown, Dave Phipps, Zach Velmer, Jeffree Lerner, Alana Rocklin). Night 1 of a 2-night Joy Theater run. Part of Live For Live Music / GMP Live's Fest by Nite 2026 series. Supporting 2025 album Human Dream.",,,,,,Doors 9pm / Show 10pm,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Brad Walker + All-Stars — Daze Between,,TBA,"April 27, 2026",Claude Agent,Live Music,Yes,https://www.jazzfestforum.com/forum/main-category/jazz-fest-forum/894309-2026-nighttime-concerts-the-grids/page16,"PERFORMERS: Brad Walker (sax), Oteil Burbridge (bass, Dead & Company), Adam Deitch (drums, Lettuce), Nicholas Payton (trumpet), and friends. Listed in Jazz Fest Grids for Monday of the Daze Between. Exact details TBA — verify with d.b.a. before attending.",,,,,,Evening,d.b.a. (https://www.notion.so/d-b-a-336a37df8710811c8ce1eaaf666c47c8?pvs=21)
J & The Causeways: Alligator Rock — Toulouse Theatre,,Ticketed,"May 2, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: J & The Causeways performing 'Alligator Rock: A New Orleans Tribute to Elton John.' J & The Causeways also performing at Fair Grounds earlier same day (Festival Stage, 12:25pm). Fest by Nite 2026 at Toulouse Theatre.",,,,,,Evening,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Karina Rykman — Toulouse Theatre,,Ticketed,"May 2, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Karina Rykman (bassist/vocalist, solo project — known for work with Marcus King Band and jam scene). Late-night Saturday show at Toulouse. Fest by Nite 2026.",,,,,,After midnight (technically early am 5/3),Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Daniel Donato's Cosmic NOLA — Civic Theatre,,Ticketed,"April 30, 2026",Claude Agent,Live Music,No,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,PERFORMERS: Daniel Donato's Cosmic Country. Nashville-based guitarist/bandleader who also appears with Grahame Lesh & Friends during Daze Between. Special NOLA-themed show at Civic Theatre on Weekend 2 kickoff night.,,,,,,Evening,Civic Theatre (https://www.notion.so/Civic-Theatre-33da37df87108170b6adc7dd3c78a116?pvs=21)
